강좌명,강좌내용,교육대상구분,교육방법구분,교육장도로명주소,운영기관명,강좌난이도,홈페이지주소
[수]AI 프로그램,생성형 AI 프로그램 활용법,성인,오프라인,"전북특별자치도 군산시 조촌4길 46 (조촌동, 전북특별자치도교육청군산학생교육문화관)",전북특별자치도교육청군산학생교육문화관,중급,https://lib.jbe.go.kr/gec/index.do
놀이로 배우는 AI,놀이로 배우는 AI 강의,초1~3학년,오프라인,"전북특별자치도 군산시 조촌4길 46 (조촌동, 전북특별자치도교육청군산학생교육문화관)",전북특별자치도교육청군산학생교육문화관,초급,https://lib.jbe.go.kr/gec/index.do
AI 체험교실,"생성형AI, 모빌리티, 드론, 코딩 등 여러가지 AI체험하기",초등학교3학년~6학년,오프라인,전북특별자치도 김제시 금산면 원평로 97 (성계리),전북특별자치도교육청김제학생교육문화관 금산분관,중급,https://lib.jbe.go.kr/wpl/index.do
챗GPT 활용,"생성형 AI인 챗GPT를 활용한 글쓰기, 이미지 생성 등 다양한 콘텐츠 만들기",초5~고3,오프라인,"전북특별자치도 김제시 요촌북로 72 (요촌동, 전북특별자치도교육청김제학생교육문화관)",전북특별자치도교육청김제학생교육문화관,중급,https://lib.jbe.go.kr/gecc/index.do
AI 창작가,AI 강습,학생,오프라인,전북특별자치도 남원시 아영면 고인청계길 15,전북특별자치도교육청남원학생교육문화관 운봉분관,중급,https://lib.jbe.go.kr/neccl/index.do
클릭만으로 나도 웹툰 작가,투닝의 AI기능 활용하여 웹툰 제작,초등1~4학년,오프라인,전북특별자치도 순창군 순창읍 장류로 379,전북특별자치도교육청순창도서관,중급,https://lib.jbe.go.kr/sclib/index.do
AI시대살아남기,"알파미니를 활용하여 로봇제어, AI기술원리를 직접 체험해보기",초등1-6학년,오프라인,"전북특별자치도 무주군 무주읍 향한로 37 (읍내리, 전북특별자치도교육청무주도서관)",전북특별자치도교육청무주도서관,중급,https://lib.jbe.go.kr/mjl/index.do
AI 크리에이터 캠프,"AI로 시작하는 동화작가, 북튜버, SNS 마케터 체험",초+중학생,오프라인,"전북특별자치도 남원시 용성로 49 (동충동, 전북특별자치도교육청남원학생교육문화관)",전북특별자치도교육청남원학생교육문화관,중급,https://lib.jbe.go.kr/necc/index.do
챗GPT&AI 교실,인공지능,학부모+지역주민,오프라인,충청북도 충주시 호암대로 50,충청북도중원교육문화원,초급,http://www.jwec.go.kr
AI로 그리는 나만의 웹툰,미술놀이,아동,오프라인,충청북도 충주시 호암대로 50,충청북도중원교육문화원,초급,http://www.jwec.go.kr
초·중학생을 위한 생성형 AI 창작캠프,AI,아동,오프라인,충청북도 충주시 호암대로 50,충청북도중원교육문화원,초급,http://www.jwec.go.kr
인공지능 활용,스마트폰을 활용한 AI서비스 체험하기,만 18세이상 성인,오프라인,광주광역시 광산구 송정공원로 8-13,광주광역시교육쳥송정다가치문화도서관,초급,http://lib.gen.go.kr/songjung
[시민] AI와 함께하는 자서전 쓰기,"AI도구(챗지피티, 뤼튼 등)를 활용한 자서전 쓰기",성인,오프라인,광주광역시 동구 장동로 23-16,광주광역시교육청중앙도서관,중급,https://lib.gen.go.kr/jungang/
[성인] 인공지능 활용 스마트 글쓰기,[성인] 인공지능 활용 스마트 글쓰기,성인,오프라인,인천광역시 부평구 신트리로 21,인천광역시교육청신트리도서관,중급,http://lib.ice.go.kr/shintree/index.do
[초4-6] 생각 더하기   인공지능(AI) 글쓰기,인공지능 도구 활용 글쓰기 활동으로 디지털 리터러시와 창의적 사고력 강화,초4~6,오프라인,인천광역시 부평구 신트리로 21,인천광역시교육청신트리도서관,초급,http://lib.ice.go.kr/shintree/index.do
"[ 독서하루 학교] 새학기 준비, 도서관에서 AI 친구랑","「독서 하루 학교」는 초등학교 4~5학년을 대상으로, 독서와 AI 체험을 결합한 하루   프로그램입니다.어린이들이 AI를 활용한 다양한 독서·창작 활동을 통해 디지털 역량을 키우고, 새학기를 즐겁고 자신감 있게 준비할 수 있도록 돕는 프로그램입니다.",초등4~5학년(2026년기준),오프라인,인천광역시 부평구 신트리로 21,인천광역시교육청신트리도서관,초급,http://lib.ice.go.kr/shintree/index.do
AI스마트폰 활용 교실,스마트폰의 기본 사용법 및 AI활용방법 교육,성인(60세이상),오프라인,인천광역시 연수구 함박뫼로 152번길 96(연수동),인천광역시교육청연수도서관,초급,https://lib.ice.go.kr/yeonsu
AI로 만드는 나만의 그림책,AI기술을 활용한 나만의 그림책 제작,성인,오프라인,인천광역시 연수구 함박뫼로 152번길 96(연수동),인천광역시교육청연수도서관,중급,https://lib.ice.go.kr/yeonsu
부모 자녀 상호관계 AI책놀이,생성형 AI 활용 이중언어 가족 그림책 제작 및 언어 상호작용 강화,성인,오프라인,인천광역시 연수구 함박뫼로 152번길 96(연수동),인천광역시교육청연수도서관,중급,https://lib.ice.go.kr/yeonsu
생성형 AI와 함께 만드는 나만의 그림책,"생성형 AI를 활용해 그림책 제작의 전 과정을 배우고, 개인의 이야기를 담은 그림책 결과물을 완성해보기",성인,오프라인,인천광역시 계양구 계양산로 134번길 18,인천광역시교육청계양도서관,중급,https://lib.ice.go.kr/gyeyang
마이크로비트로 발명하는 똑똑한 코딩놀이,AI개념을 이해하고 마이크로비트를 통해 작품 완성,아동,오프라인,"인천광역시 부평구 경원대로 1191 (십정동, 부평도서관)",인천광역시교육청부평도서관,중급,https://lib.ice.go.kr/bupyeong
읽걷쓰 AI 생각탐험대,AI를 활용한 정확한 글쓰기,아동,오프라인,"인천광역시 부평구 경원대로 1191 (십정동, 부평도서관)",인천광역시교육청부평도서관,중급,https://lib.ice.go.kr/bupyeong
누구나 쉽게 AI 활용과 스마트폰 영상 제작,"AI 도구를 활용해 쉽게 영상 및 콘텐츠를 제작, 공유",성인,온라인,"인천광역시 부평구 경원대로 1191 (십정동, 부평도서관)",인천광역시교육청부평도서관,중급,https://lib.ice.go.kr/bupyeong
AI와 스마트폰으로 배우는 디지털 생활,"생활 속 AI와 디지털 기능 방법 익히기(키오스크, 여행 검색 및 예약 결제 등)",성인55세 이상,오프라인,인천광역시 동구 화도진로 122 (화수동),인천광역시교육청화도진도서관,초급,http://lib.ice.go.kr/hwadojin/index.do
AI와 함께하는 똑똑한 일상생활,폭넓게 쓸 수 있는 인공지능 사용법 익히기,만55세이상,오프라인,대구광역시 중구 공평로 10길 25(동인동3가),국채보상운동기념도서관,초급,https://library.daegu.go.kr/gukbo/index.do
생각이 자라는 AI 코딩 놀이터,"AI 도구를 활용해 그림, 이야기 등 만들어보며 컴퓨팅 사고력 기르기",초2~3,오프라인,대구광역시 중구 공평로 10길 25(동인동3가),국채보상운동기념도서관,초급,https://library.daegu.go.kr/gukbo/index.do
AI로 일상에 상상을 더하는 글쓰기,AI 이해 및 활용,성인,오프라인,"대구광역시 남구 앞산순환로 512 (대명동, 대구광역시립남부도서관)",대구광역시립 남부도서관,중급,https://library.daegu.go.kr/nambu/index.do
"AI와 인간의 공존, 인문학에서 답을 얻다",AI시대를 살아가는 인간의 의미와 역할을 인문학적으로 성찰하는 시민 인문학 수업,성인,오프라인,부산광역시 해운대구 양운로 183,부산광역시립해운대도서관,초급,https://home.pen.go.kr/haeundaelib
내 삶의 문장을 줍다:AI와 함께하는 에세이 메이커,AI융합,성인,오프라인,세종특별자치시 한누리대로 2281,세종연구원,초급,https://sjlms.sri.re.kr/
나만의 AI미디어 아트 작품 완성하기,AI융합,성인,오프라인,세종특별자치시 한누리대로 2281,세종연구원,초급,https://sjlms.sri.re.kr/
코딩/파이썬으로 시작하는 AI,AI융합,성인,오프라인,세종특별자치시 한누리대로 2281,세종연구원,고급,https://sjlms.sri.re.kr/
AI와 데이터로 여는 경영의 비밀,AI융합,성인,온라인,세종특별자치시 한누리대로 2281,세종연구원,고급,https://sjlms.sri.re.kr/
스마트폰활용기초(주말),"스마트폰 조작, 통화·문자, 카메라·갤러리, 카카오톡, 생활앱, AI 음성·이미지·챗GPT 활용까지 실습 중심으로 배우고 적용",시니어,오프라인,경상북도 포항시 남구 뱃머리길 39(상도동),포항시 평생학습원,초급,https://lifetimeedu.pohang.go.kr/
AI 활용 웹툰그리기(초4~초6),자기만의 캐릭터로 인스타툰용 웹툰 그리기,청소년,오프라인,경상북도 포항시 남구 뱃머리길 39(상도동),포항시 평생학습원,중급,https://lifetimeedu.pohang.go.kr/
AI 하나로 완성하는 유럽일주 16주의 기록,여행 준비부터 현장 활용과 사후 기록까지 AI 도구를 단계별로 활용하며 완성도 높은 여행 포트폴리오를 제작하는 과정을 통해 평생 활용가능한 디지털 역량을 강화하는 교육,일반성인,오프라인,경상북도 포항시 남구 뱃머리길 39(상도동),포항시 평생학습원,중급,https://lifetimeedu.pohang.go.kr/
AI와 함께하는 나만의 퍼스널브랜드 완성하기,"AI 도구의 특성을 이해하고 활용하여 자신만의 고유한 브랜드 정체성과 스토리를 확립 하고 , 글쓰기·이미지·영상 등 다각적인 콘텐츠 제작 및 실전 마케팅 역량을 강화하는 과정",일반성인,오프라인,경상북도 포항시 남구 뱃머리길 39(상도동),포항시 평생학습원,중급,https://lifetimeedu.pohang.go.kr/
AI활용 코칭전문가2급 (자격증반),다양한 AI 도구를 활용한 코칭전문가 자격 과정,일반성인,오프라인,경상북도 포항시 남구 뱃머리길 39(상도동),포항시 평생학습원,고급,https://lifetimeedu.pohang.go.kr/
인공지능(AI) 기초활용,인공지능(AI) 기초활용 강의,지역주민,오프라인,전라남도 광양시 광양읍 제철로 69,전라남도 광양시청,초급,https://gwangyang.go.kr/reserve/
생활에 바로 쓰는 AI & 파워포인트 문서제작,생활에 바로 쓰는 AI+파워포인트 문서제작 강의,지역주민,오프라인,전라남도 광양시 중마중앙로 119-1,전라남도 광양시청,중급,https://gwangyang.go.kr/reserve/
생활에 바로쓰는 AI & 파워포인트 문서제작,생활에 바로쓰는 AI+파워포인트 문서제작 강의,지역주민,오프라인,전라남도 광양시 광양읍 남등길 6,전라남도 광양시청,중급,https://gwangyang.go.kr/reserve/
"AI활용 스톡이미지 만들기 & 캡컷 사진 편집, 동영상 제작",AI활용 스톡이미지 만들기+캡컷 사진+편집동영상 제작 강의,지역주민,오프라인,전라남도 광양시 희망길 50,전라남도 광양시청,중급,https://gwangyang.go.kr/reserve/
"AI 활용 스톡이미지 만들기 & 캡컷 사진 편집, 동영상 제작",AI 활용 스톡이미지 만들기+캡컷 사진 편집+동영상 제작 강의,지역주민,오프라인,전라남도 광양시 새미골길 15,전라남도 광양시청,중급,https://gwangyang.go.kr/reserve/
AI와 함께 만드는 나의 첫 이야기,챗GPT와 재미나이를 활용한 나만의 스토리북 제작하기,19세 이상의 여수시민,오프라인,전라남도 여수시 웅천6길 51,전라남도 여수시,중급,https://www.yeosu.go.kr/
AI로 만드는 섬박람회 홍보영상 제작,생성형 AI를 활용하여 여수세계섬박람회 홍보영상 제작,19세 이상의 여수시민,오프라인,전라남도 여수시 웅천6길 51,전라남도 여수시,중급,https://www.yeosu.go.kr/
SUNO AI로 완성하는 나만의 디지털 싱글제작,"Suno AI를 활용하여 작사, 작곡 등 프로듀싱 해보기",19세 이상의 여수시민,오프라인,전라남도 여수시 웅천6길 51,전라남도 여수시,중급,https://www.yeosu.go.kr/
[디지털 익스체인지 DX 05] 인공지능 기술개요,컴퓨터활용,지역주민,온라인,전북특별자치도 군산시 시청로 17,전북특별자치도 군산시청,고급,http://cyberedu.gunsan.go.kr
[1급과정] 프롬프트엔지니어,민간자격증,지역주민,온라인,전북특별자치도 군산시 시청로 17,전북특별자치도 군산시청,고급,http://cyberedu.gunsan.go.kr
시니어 AI 첫걸음,"다양한 AI를 쉽고 재미있게, 누구나 이해할 수 있게 배울 수 있는 입문 교육",홍성군민,오프라인,충청남도 홍성군 홍성읍 온천1길 11,홍성군평생학습관,초급,http://www.hongseong.go.kr/lll.do
AI를 활용한 숏츠 영상 만들기,"AI를 활용한 실습 위주 교육으로, 실생활 밀접형 활용",홍성군민,오프라인,충청남도 홍성군 홍성읍 온천1길 11,홍성군평생학습관,중급,http://www.hongseong.go.kr/lll.do
캔바와 AI를 활용한 직무능력 높이기,캔바와 AI를 활용한 실제 업무에 도움 되는 실용 전문 과정,홍성군민,오프라인,충청남도 홍성군 홍성읍 온천1길 11,홍성군평생학습관,중급,http://www.hongseong.go.kr/lll.do
스마트한 일상을 만드는 AI 활용법,생활·가정·자녀교육·취미 영역 적용 중심 AI 활용 교육,"홍성군민, 내포신도시 거주 관외 주민 20",오프라인,"충청남도 홍성군 홍북읍 청사로50, 홍성군신도시평생학습관",홍성군신도시평생학습관,초급,http://www.hongseong.go.kr/lll.do
